record_type,scenario,historical_flow_count,hieulw_flow_count,matched_flows_by_bidirectional_identity,reliably_one_to_one_matched_flows,unmatched_historical_flows,unmatched_hieulw_flows,split_identity_groups_historical_gt_hieulw,extra_historical_segments_in_split_groups,merged_identity_groups_hieulw_gt_historical,extra_hieulw_segments_in_merged_groups,orientation_differences,timestamp_difference_seconds,matching_definition,model_feature,historical_header,hieulw_header,count,exact_match_percentage,mean_absolute_difference,median_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_urg_flags,Bwd URG Flags,bwd_urg_flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_header_length,Fwd Header Length,fwd_header_len,1000.0,0.0,16.0,16.0,0.3998666666666667,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_header_length,Bwd Header Length,bwd_header_len,1000.0,99.9,0.004,0.0,0.00016666666666666666,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_packets_s,Fwd Packets/s,fwd_pkts_s,1000.0,0.7000000000000001,377712.6001806444,333333.3333333333,0.4963333333333333,0.9999999990743298
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_packets_s,Bwd Packets/s,bwd_pkts_s,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,min_packet_length,Packet Length Min,pkt_len_min,1000.0,0.0,54.0,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,max_packet_length,Packet Length Max,pkt_len_max,1000.0,0.0,58.0,58.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,packet_length_mean,Packet Length Mean,pkt_len_mean,1000.0,0.0,56.666999999999994,56.666666666666664,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,packet_length_std,Packet Length Std,pkt_len_std,1000.0,0.0,1.885464515888531,1.8856180831641267,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,packet_length_variance,Packet Length Variance,pkt_len_var,1000.0,0.0,3.555000000000001,3.5555555555555554,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fin_flag_count,FIN Flag Count,fin_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
