scenario,reference_label,feature_index,feature,lab_row_count,reference_row_count,lab_finite_count,reference_finite_count,lab_mean,reference_mean,lab_median,reference_median,lab_std,reference_std,lab_min,reference_min,lab_max,reference_max,ks_statistic,feature_importance,importance_times_ks
DDoS,DDoS,18,flow_iat_max,10226,128027,10226,128027,222729.82212008606,15837816.18967093,374.5,1876545.0,3282903.23986021,28667527.576555416,0.0,0.0,61219576.0,101000000.0,0.9465279150187081,0.029210397904237996,0.027648457025165232
DDoS,DDoS,19,flow_iat_min,10226,128027,10226,128027,68.56033639741834,2442.3957055933515,0.0,4.0,6413.846763710399,199343.69647848228,0.0,-12.0,648621.0,44200000.0,0.74162178648597,0.003614935859593761,0.0026809151902241206
DDoS,DDoS,20,fwd_iat_total,10226,128027,10226,128027,226762.64942303931,16516699.42709741,178.0,1763967.0,3284950.8709605904,30924271.375205886,0.0,0.0,61221028.0,103000000.0,0.8722617300507053,0.024036633694432163,0.020966235690900475
DDoS,DDoS,21,fwd_iat_mean,10226,128027,10226,128027,55870.807418107004,2654833.0923403655,92.0,490461.0,806580.0982341715,4298193.372146986,0.0,0.0,15305257.0,44200000.0,0.8704865064652845,0.017277657399376176,0.01503996762948704
DDoS,DDoS,22,fwd_iat_std,10226,128027,10226,128027,109707.05312238268,6134266.733284189,94.75231170654297,932318.6875,1624774.2158519267,10631909.489811419,0.0,0.0,30609592.0,57500000.0,0.8449918842371608,0.018535205817935253,0.015662098488820695
DDoS,DDoS,23,fwd_iat_max,10226,128027,10226,128027,222435.33062781146,15526931.428526795,167.0,1762008.0,3283002.1140697645,28830428.860866573,0.0,0.0,61219644.0,101000000.0,0.8727357714924117,0.012043056920517735,0.010510406572655073
DDoS,DDoS,24,fwd_iat_min,10226,128027,10226,128027,459.9775083121455,2647.938223968382,0.0,8.0,27496.03564614258,199358.1963812695,0.0,-12.0,1918310.0,44200000.0,0.7201464351965496,0.006150671461633378,0.004429384127160429
DDoS,DDoS,25,bwd_iat_total,10226,128027,10226,128027,6810.444064150205,443915.09831519914,0.0,74700.0,101904.96352942749,588465.1669129648,0.0,0.0,3290204.0,6171904.0,0.6269975649679105,0.0011058594174839001,0.0006933711619592373
DDoS,DDoS,26,bwd_iat_mean,10226,128027,10226,128027,2291.8261020107557,111819.65732250991,0.0,19062.333984375,37919.09704349209,153092.14065852042,0.0,0.0,1985515.0,1542459.75,0.6261802508467851,0.003509418725286454,0.0021975286977262763
DDoS,DDoS,27,bwd_iat_std,10226,128027,10226,128027,3450.605143884775,218693.13098993764,0.0,33256.78515625,54962.14334824489,294709.7309731062,0.0,0.0,1895031.875,3078935.5,0.6258600058984539,0.001068237586149994,0.0006685671819687854
DDoS,DDoS,28,bwd_iat_max,10226,128027,10226,128027,6413.335028359084,439508.3506057316,0.0,67471.0,98675.54114805625,586867.7490069931,0.0,0.0,3284032.0,6161828.0,0.6262827176812495,0.0011563754266246228,0.0007242179448462831
