feature,importance_rank,importance,ks_training_vs_experiment_portscan,ks_training_vs_experiment_normal,experiment_portscan_outside_training_range_pct,experiment_portscan_to_training_median_ratio,cicids2017_training_portscan_count,cicids2017_training_portscan_mean,cicids2017_training_portscan_std,cicids2017_training_portscan_min,cicids2017_training_portscan_median,cicids2017_training_portscan_p95,cicids2017_training_portscan_max,cicids2017_training_portscan_percentage_zero,experiment_c_portscan_count,experiment_c_portscan_mean,experiment_c_portscan_std,experiment_c_portscan_min,experiment_c_portscan_median,experiment_c_portscan_p95,experiment_c_portscan_max,experiment_c_portscan_percentage_zero,experiment_c_normal_http_count,experiment_c_normal_http_mean,experiment_c_normal_http_std,experiment_c_normal_http_min,experiment_c_normal_http_median,experiment_c_normal_http_p95,experiment_c_normal_http_max,experiment_c_normal_http_percentage_zero
bwd_packets_s,11,0.026529619849240283,0.7831019200330328,0.9827403482210446,0.0,16.6666671875,72655,35968.0234375,79194.2265625,0.0,20000.0,90909.09375,1000000.0,0.19406785493083753,1000,377712.59375,300973.1875,0.0,333333.34375,1000000.0,1000000.0,0.7000000000000001,32,926.2098388671875,553.4797973632812,0.0,768.0921630859375,1928.939697265625,2239.14013671875,6.25
fwd_iat_total,12,0.024036633694432163,0.016365012731401785,0.9211349872685982,0.0,,72655,141978.140625,3024038.5,0.0,0.0,0.0,120000000.0,98.36349872685982,1000,1.2199999446238508e-06,3.857978663290851e-05,0.0,0.0,0.0,0.0012199999764561653,99.9,32,0.005848531611263752,0.0028875162824988365,0.0,0.005919500254094601,0.009861049940809608,0.011761999689042568,6.25
flow_duration,13,0.02328676178459756,0.9986786869451517,0.9986786869451517,0.0,6.000000212225131e-08,72655,142259.453125,3022895.5,0.0,50.0,97.0,119809736.0,0.13213130548482555,1000,1.54310000652913e-05,6.46308035356924e-05,0.0,3.000000106112566e-06,4.999999873689376e-05,0.0012199999764561653,0.7000000000000001,32,0.00587415648624301,0.0028953994624316692,0.0,0.0059380000457167625,0.00988884991966188,0.011814000084996223,6.25
bwd_packet_length_mean,14,0.022059569375214978,0.9990503062418278,0.9365503062418278,0.0,9.0,72655,7.789047718048096,60.739479064941406,0.0,6.0,6.0,2315.199951171875,0.633129172114789,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,103.08229064941406,27.07288360595703,0.0,110.19999694824219,110.19999694824219,110.19999694824219,6.25
init_win_bytes_forward,15,0.019757021684254198,0.503557910673732,0.9371008533480146,0.0,0.03506849315068493,72655,15225.6767578125,14119.556640625,-1.0,29200.0,29200.0,64240.0,0.0,1000,1024.0,0.0,1024.0,1024.0,1024.0,1024.0,0.0,32,60225.0,15798.8447265625,0.0,64240.0,64240.0,64240.0,6.25
act_data_pkt_fwd,16,0.019212293916940678,0.006936893537953348,0.9930631064620467,0.0,,72655,0.007019475568085909,0.08495909720659256,0.0,0.0,0.0,4.0,99.30631064620466,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,1.0625,0.24593468010425568,1.0,1.0,1.4499999999999993,2.0,0.0
avg_bwd_segment_size,17,0.01879072288663072,0.9990503062418278,0.9365503062418278,0.0,9.0,72655,7.789047718048096,60.739479064941406,0.0,6.0,6.0,2315.199951171875,0.633129172114789,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,103.08229064941406,27.07288360595703,0.0,110.19999694824219,110.19999694824219,110.19999694824219,6.25
flow_packets_s,18,0.01875389301585683,0.828116842845133,0.9898289667718684,15.1,25.0,72559,72055.6171875,158461.140625,0.033386267721652985,40000.0,181818.1875,2000000.0,0.0,1000,1133138.75,902918.5625,0.0,1000000.0,3000000.0,3000000.0,0.7000000000000001,32,2036.73193359375,1217.7255859375,0.0,1689.802734375,4243.6673583984375,4926.1083984375,6.25
fwd_iat_std,19,0.018535205817935253,0.00832702498107496,0.929172975018925,0.0,,72655,3531.975830078125,129587.3671875,0.0,0.0,0.0,18000000.0,99.1672975018925,1000,6.099999723119254e-07,1.9289893316454254e-05,0.0,0.0,0.0,0.0006099999882280827,99.9,32,0.0016858505550771952,0.000912696763407439,0.0,0.0018263943493366241,0.003014005557633936,0.0037849098443984985,6.25
packet_length_std,20,0.01800290551455784,0.9939164544766361,0.9361924506228064,0.0,0.8164965988150311,72655,4.546171188354492,54.73595428466797,0.0,2.309401035308838,3.464101552963257,2137.603515625,0.6083545523363842,1000,1.8854645490646362,0.00485622463747859,1.7320507764816284,1.8856180906295776,1.8856180906295776,1.8856180906295776,0.0,32,50.99200439453125,13.389337539672852,0.0,54.501041412353516,54.501041412353516,54.501041412353516,6.25
fwd_iat_mean,21,0.017277657399376176,0.016365012731401785,0.9211349872685982,0.0,,72655,134672.34375,2954576.75,0.0,0.0,0.0,120000000.0,98.36349872685982,1000,6.099999723119254e-07,1.9289893316454254e-05,0.0,0.0,0.0,0.0006099999882280827,99.9,32,0.0011627280618995428,0.0005767302354797721,0.0,0.0011130499187856913,0.00197221003472805,0.0023523999843746424,6.25
