record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,normal-http-test,,,,,,,,,,Fwd Seg Size Avg,Fwd Segment Size Avg,61.0,100.0,0.0,0.0,0.0,0.9999999999999999
feature_comparison,normal-http-test,,,,,,,,,,Bwd Seg Size Avg,Bwd Segment Size Avg,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd Byts/b Avg,Fwd Bytes/Bulk Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkts/b Avg,Fwd Packet/Bulk Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Fwd Blk Rate Avg,Fwd Bulk Rate Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd Byts/b Avg,Bwd Bytes/Bulk Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkts/b Avg,Bwd Packet/Bulk Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd Blk Rate Avg,Bwd Bulk Rate Avg,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Subflow Fwd Pkts,Subflow Fwd Packets,61.0,1.639344262295082,2.4754098360655736,4.0,0.9836065573770492,-0.12338949839561683
feature_comparison,normal-http-test,,,,,,,,,,Subflow Fwd Byts,Subflow Fwd Bytes,61.0,50.81967213114754,40.32786885245902,82.0,0.4918032786885246,
feature_comparison,normal-http-test,,,,,,,,,,Subflow Bwd Pkts,Subflow Bwd Packets,61.0,50.81967213114754,1.9836065573770492,5.0,0.4918032786885246,
feature_comparison,normal-http-test,,,,,,,,,,Subflow Bwd Byts,Subflow Bwd Bytes,61.0,50.81967213114754,104.75409836065573,213.0,0.4918032786885246,
feature_comparison,normal-http-test,,,,,,,,,,Init Fwd Win Byts,FWD Init Win Bytes,61.0,98.36065573770492,0.01639344262295082,1.0,0.01639344262295082,0.9999999999922808
feature_comparison,normal-http-test,,,,,,,,,,Init Bwd Win Byts,Bwd Init Win Bytes,61.0,49.18032786885246,125.91803278688525,256.0,0.5101253616200578,0.12700012700019056
feature_comparison,normal-http-test,,,,,,,,,,Fwd Act Data Pkts,Fwd Act Data Pkts,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd Seg Size Min,Fwd Seg Size Min,61.0,100.0,0.0,0.0,0.0,0.9999999999999998
