comparison,feature,E13-D1_min,E13-D1_q1,E13-D1_median,E13-D1_mean,E13-D1_q3,E13-D1_max,E13-D1_std,E4-frozen-DDoS_min,E4-frozen-DDoS_q1,E4-frozen-DDoS_median,E4-frozen-DDoS_mean,E4-frozen-DDoS_q3,E4-frozen-DDoS_max,E4-frozen-DDoS_std,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance,E13-D2_min,E13-D2_q1,E13-D2_median,E13-D2_mean,E13-D2_q3,E13-D2_max,E13-D2_std,E10-Session-11_min,E10-Session-11_q1,E10-Session-11_median,E10-Session-11_mean,E10-Session-11_q3,E10-Session-11_max,E10-Session-11_std
E13-D1 vs E10-Session-11,bwd_packet_length_std,0.0,0.0,0.0,43.937310798635494,88.22320556640625,88.22320556640625,44.03014982598239,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,43.95198537406484,88.223206,88.223206,44.09365086444047
E13-D1 vs E10-Session-11,flow_bytes_s,0.0,0.0,6905.15234375,65688.98678477545,127532.66796875,278139.53125,73804.40330262762,,,,,,,,25819.10915625,0.3000643622149637,0.788989818952828,,,,,,,,0.0,0.0,32724.2615,89630.81700629723,177316.5475,327850.88,96749.5500668123
E13-D1 vs E10-Session-11,flow_packets_s,37.75027084350586,2360.087646484375,3597.122314453125,86481.1739965043,8658.1708984375,2000000.0,273813.4191318558,,,,,,,,1773.0421855468749,0.006792616720118133,0.7679938222136059,,,,,,,,602.27356,3767.9992,5370.1645,102090.05765897986,21276.596,2000000.0,247576.69471305225
E13-D1 vs E10-Session-11,flow_iat_mean,0.0,206.0,349.0,628.9126933427636,531.6666870117188,30274.142578125,1691.7611846813297,,,,,,,,113.66667000000001,0.09357504177093912,1.0,,,,,,,,0.0,76.75,235.33333,268.26633307980046,332.29167,2343.0,298.31455019567426
E13-D1 vs E10-Session-11,flow_iat_std,0.0,0.0,89.80255889892578,524.0897656058551,321.28179931640625,78858.125,4147.936730590698,,,,,,,,55.20487389892578,0.018790032537382217,1.5956233458662272,,,,,,,,0.0,0.0,34.597685,134.2575517182045,197.83646,3367.0723,241.1572817341157
E13-D1 vs E10-Session-11,flow_iat_max,0.0,229.0,646.0,1707.5505617977528,1338.0,208985.0,10945.160751001002,,,,,,,,261.5,0.03372512885048489,0.9389587073608617,,,,,,,,0.0,76.75,384.5,481.05610972568576,625.5,9508.0,669.486663499038
E13-D1 vs E10-Session-11,flow_iat_min,0.0,0.0,5.0,310.27590511860177,230.0,4621.0,680.2548401380258,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,5.0,118.33915211970074,106.75,2343.0,295.1846535876099
E13-D1 vs E10-Session-11,fwd_iat_total,0.0,142.0,854.0,1718.1460674157304,1666.0,210490.0,10697.596855947957,,,,,,,,295.5,0.03894930010671434,0.6530386740331492,,,,,,,,0.0,18.0,558.5,632.2955112219452,883.25,12964.0,824.6598761402522
E13-D1 vs E10-Session-11,fwd_iat_mean,0.0,142.0,455.5,868.280129117168,920.5,70163.3359375,3586.9019845309253,,,,,,,,154.0,0.060371942253187066,0.7238542890716804,,,,,,,,0.0,18.0,301.5,345.90407344139646,471.0,4321.3335,384.5055312833912
E13-D1 vs E10-Session-11,fwd_iat_std,0.0,0.0,0.0,640.3424452969643,486.4894714355469,120256.296875,6092.797686816144,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,223.128010694015,427.0925,5792.095,342.7188620262347
E13-D1 vs E10-Session-11,fwd_iat_max,0.0,142.0,736.0,1501.3645443196006,1208.0,208985.0,10603.638908386185,,,,,,,,216.5,0.028822879094519582,0.5964187327823691,,,,,,,,0.0,18.0,519.5,515.3478802992519,746.75,10968.0,636.3320727365972
E13-D1 vs E10-Session-11,fwd_iat_min,0.0,6.0,181.0,453.1298377028714,630.0,4621.0,671.1950894643812,,,,,,,,160.0,0.30426677620909,7.619047619047619,,,,,,,,0.0,5.0,21.0,181.48254364089775,215.75,2343.0,320.2228863593736
E13-D1 vs E10-Session-11,bwd_iat_total,0.0,0.0,0.0,1905.0948813982523,1957.0,210805.0,11074.998536048948,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,779.2294264339153,1356.75,12173.0,1052.3900008265095
E13-D1 vs E10-Session-11,bwd_iat_mean,0.0,0.0,0.0,627.039845975002,651.0,70268.3359375,3678.7072883617807,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,257.9024316832918,451.91666499999997,4057.6667,342.41292426706667
E13-D1 vs E10-Session-11,bwd_iat_std,0.0,0.0,0.0,867.5797980269243,674.0521850585938,120926.1640625,6317.2358913919825,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,257.50210681421447,416.9788025,4735.3584,390.369237514202
E13-D1 vs E10-Session-11,bwd_iat_max,0.0,0.0,0.0,1601.430711610487,1367.0,209639.0,10995.646393709903,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,520.9451371571072,853.0,9508.0,767.9929576524702
E13-D1 vs E10-Session-11,bwd_iat_min,0.0,0.0,0.0,31.544319600499374,0.0,1014.0,98.13182891303784,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,30.31920199501247,0.0,953.0,93.56472309904437
E13-D1 vs E10-Session-11,fwd_psh_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,bwd_psh_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,fwd_urg_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,bwd_urg_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,fwd_header_length,32.0,64.0,64.0,84.85393258426966,104.0,200.0,25.670408793793086,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,64.0,64.0,84.14962593516209,104.0,200.0,24.681492783100115
E13-D1 vs E10-Session-11,bwd_header_length,0.0,0.0,32.0,69.79275905118602,136.0,168.0,67.53963279070386,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,32.0,69.26683291770574,136.0,168.0,67.32700027468199
E13-D1 vs E10-Session-11,fwd_packets_s,0.0,1165.9541015625,1703.5775146484375,84815.31186262409,7874.015625,2000000.0,273193.9490394999,,,,,,,,756.4475353515627,0.0029043220790443258,0.6367249674621182,,,,,,,,0.0,1731.35205,2460.02505,99761.31044973816,21052.63,2000000.0,247061.7592988096
